ID,BODY,URGENCY,categorie,Topic_Number,Topic,Fits_Topic,Urgency_Code,Categorie_Code,Fits_Topic_Code
1,Inquiring about best practices for securing medical data on a 2-in-1 Convertible Laptop. Currently have Norton 360 installed and need guidance on how to properly configure it to protect sensitive medical information. Would greatly appreciate any tips or recommendations you can offer.,medium,Request,2, Topic 2: security,No,2,1,0
2,"The integration stopped working unexpectedly, causing synchronization errors between our platforms. This might be due to recent modifications to the API. Despite attempting to restart services and examining logs, the problem remains unresolved. I would be grateful for your help in addressing this issue.",high,Problem,4, Topic 4: 'bug',Yes,3,2,1
3,"I am reaching out to report an issue with our data analytics platform. The platform has crashed, and we believe it might be due to inadequate RAM allocation. We have already tried restarting the server and reviewing the logs, but the problem still exists. We kindly request your assistance in investigating this matter and providing a resolution at your earliest convenience. Please inform us if any additional information from our side is necessary to address this issue. The platform is currently unavailable, and we urgently need it to be operational. Thank you for your consideration and support.",high,Problem,6, Topic 6: crash,Yes,3,2,1
4,"Dear Customer Support,\n\nI am reporting an issue with our project sync, which has led to data loss. This sync failure occurred after recent software updates, possibly due to incompatibility issues. Despite restarting our systems and reviewing firewall settings, the problem remains unresolved.\n\nThe software updates were installed recently, and the sync failure happened shortly thereafter. Our team has attempted to troubleshoot the issue by restarting the systems and reviewing the firewall settings, but these efforts have been unsuccessful.\n\nI would greatly appreciate it if you could investigate this matter and provide a solution to resolve the sync issue and recover the lost data. If there is any additional information or logs you require from our side, please let me know.\n\nThank you for your time and assistance.\n\nBest regards,\n[Your Name]",high,Incident,4, Topic 4: 'bug',Yes,3,3,1
5,"Hello Customer Support Team, I am writing to seek advice on digital methods that can aid in expanding my brand. In the current digital era, a robust online footprint is essential for business success. I am keen to learn about the strategies you suggest for boosting brand visibility and attracting more customers. Particularly, I am interested in exploring social media marketing, search engine optimization, and content development. I think applying the appropriate digital strategies could significantly advance my brand. Would you be able to offer some insights on this? I look forward to your response. Thanks for your time and support.",medium,Request,7, Topic 7: feature,No,2,1,0
6,"Dear Customer Support, I am encountering a problem with my website analytics dashboard that is not updating. I believe there might be an issue with the API connection. I have already restarted the dashboard and verified my credentials, yet the problem still exists. Could you please investigate and offer a solution at your earliest convenience? If you require any additional information from me, please let me know. Thank you for your assistance, and I look forward to your response.",low,Incident,4, Topic 4: Bug,Yes,1,3,1
7,"Data breach found, assistance required",high,Incident,2, Topic 2: security,Yes,3,3,1
8,I am writing to request an update to the integration features in our mobile applications. The current features are outdated and not compatible with recent software versions. I would like to request enhancements to ensure seamless functionality with the latest software versions.,low,Change,7, Topic 7: feature,Yes,1,4,1
9,"The data analytics software used by the financial firm is experiencing frequent crashes, likely due to RAM limitations and software conflicts.",high,Problem,6, Topic 6: crash,Yes,3,2,1
10,"To Whom It May Concern, I am contacting you to report a possible data breach, which may be related to outdated software. Despite my attempts to update various programs, including Snagit, Ansible, and Firebase, the problem continues. I am worried about the security of my data and would appreciate your help in addressing this issue promptly. Could you advise on the next steps or suggest a solution to prevent future breaches? I value your swift response to this matter and eagerly await your guidance. Please inform me if you require any further information to assist me. I can be reached at your convenience to discuss this further. Thank you for your support in resolving this issue. Please provide any necessary reference number <ref_num> for my records, and I look forward to your prompt follow-up.",high,Incident,2, Topic 2: security,Yes,3,3,1
11,"Hello customer support, I am contacting you to highlight the urgent requirement to enhance encryption protocols on our JIRA and HubSpot CRM systems in order to secure medical data effectively. This update is vital for safeguarding sensitive information and ensuring adherence to regulatory standards. Could you please undertake these updates as soon as possible and notify me upon completion? If you need any more details from me, please let me know.",medium,Change,2, Topic 2: security,Yes,2,4,1
12,Data analytics functions are disrupted following the latest software update. Efforts to restart and reinstall the software have been unsuccessful.,medium,Incident,4, Topic 4: Bug,Yes,2,3,1
13,"There has been a noticeable slowdown in the data analytics platform. It might be due to inadequate server resources. Despite restarting the servers and verifying the configurations, the problem continues.",medium,Incident,5, Topic 5: performance,Yes,2,3,1
14,"Dear Customer Support, I am writing to request assistance in optimizing my investment strategies through the use of data analytics. The abundance of data available can be daunting, and I believe data analytics tools can aid in making more precise forecasts and maximizing returns. However, I need guidance on how to effectively use these tools. Could you provide me with some pointers on getting started? It would be greatly appreciated if you could recommend the most suitable data analytics tools for investment analysis, as well as offer tips on how to interpret the data and make informed decisions. Additionally, I would like to know if you have any resources or tutorials available that can help me learn more about data analytics and its application in investment strategies. I am very eager to learn more about this topic and appreciate your assistance in this matter. I look forward to your response. Best regards, [Your Name]",high,Request,3, Topic 3: technical,No,3,1,0
15,"I am contacting you to seek information regarding the prerequisites for integrating Wave with Outlook 2021. Could you kindly furnish me with the essential details, including the minimum system specifications such as the operating system, processor speed, and memory capacity, to ensure a seamless integration process? Furthermore, are there any specific software or plugin prerequisites that need to be met? Additionally, it would be greatly appreciated if you could share any troubleshooting advice or typical issues that might occur during the integration. I am eagerly looking forward to your response and resolving this matter. Thank you for your time and support.",high,Request,3, Topic 3: technical,No,3,1,0
16,"Hello Customer Support, I am writing to inquire about the integrations that are currently available for Shopware with Google Cloud Platform and Microsoft Azure services. I am currently using Shopware as my e-commerce platform and I am keen to explore the integration opportunities with Google Cloud Platform and Microsoft Azure services. Would you be able to provide me with a detailed list of the available integrations and their descriptions? Furthermore, I would be grateful for any assistance in understanding how to set up and configure these integrations. Specifically, I am interested in knowing more about the integration with Google Cloud Storage, Google Cloud Functions, and Microsoft Azure Storage. Could you also inform me about any future plans for new integrations? Lastly, I would appreciate any insights into the limitations or restrictions on the use of these integrations. I look forward to your response and hope to receive detailed guidance on this matter. Thank you for your time and support. Kind regards, [Your Name]",high,Request,3, Topic 3: technical,Yes,3,1,1
17,"Hello Customer Support, I am writing to inquire about enhancing security for the transmission and storage of medical data. Given the sensitive nature of medical information, it is crucial that it is protected with the highest level of security to safeguard patient details. Could you please share the current encryption methods used by your organization and the steps taken to ensure the secure handling of medical data? Additionally, are there plans to introduce further security enhancements, such as multi-factor authentication and encryption key management? Your insights on this matter would be greatly appreciated. Thank you for your time and cooperation. I eagerly await your response.",high,Change,2, Topic 2: security,Yes,3,4,1
18,"The data analytics platform encountered issues while processing client investment reports due to high server load and software conflicts, despite restarting applications and checking for updates. The problem continues and requires your assistance.",medium,Incident,5, Topic 5: performance,Yes,2,3,1
19,"I am contacting you to ask about the integration possibilities for ClickUp within my existing technology infrastructure. Could you send me a detailed list of tools that are compatible with ClickUp and a short explanation of their integration features? Additionally, I would be grateful for any instructions on setting up these integrations and any supplementary materials you can provide.",medium,Request,3, Topic 3: technical,Yes,2,1,1
20,Seeking information on digital marketing tactics for brand growth. Please provide specifics on the services you offer.,low,Request,1, Topic 1: Digital Marketing Tactics,No,1,1,0
21,"Customer support, requesting an update to the integration settings for various software tools to enhance compatibility with our scalable SaaS platform. The current settings, although optimized, are causing issues with data synchronization. I would greatly appreciate your assistance in updating these settings as soon as possible. Please let me know the necessary information so we can proceed.",medium,Change,3, Topic 3: technical,Yes,2,4,1
22,"Hello Customer Support, <br>A digital campaign synchronization issue has been observed by me and I am reporting it here. <br>The issue surfaced after the recent software updates and configuration alterations. <br>Steps taken to troubleshoot include restarting the devices and verifying internet connectivity, but unfortunately, the issue still exists. <br>I kindly request you to examine the situation and offer a resolution at the earliest. <br>Please inform me if you need any further details from me for the resolution. <br>I am eagerly awaiting your response. <br>Thanks a lot for your attention and help. <br>Best regards, [Your Name]",low,Incident,4, Topic 4: 'bug',Yes,1,3,1
